MGI	HMD	PhenoGeno
MGI:1914913	NA	MP:0002675,MP:0009237,MP:0009231,MP:0001925,MP:0008898,MP:0009230,MP:0030976,MP:0001147,MP:0004852
MGI:5484633	NA	MP:0000418,MP:0010203
MGI:1913842	NA	MP:0002941,MP:0001925,MP:0009142,MP:0005343,MP:0005344,MP:0002079
MGI:2667763	NA	MP:0002941,MP:0005642
MGI:2384756	NA	MP:0011087,MP:0001436
MGI:2671295	NA	MP:0011100
MGI:1330808	NA	MP:0001722,MP:0012089,MP:0000913,MP:0000288,MP:0011098,MP:0012264,MP:0000282,MP:0000784,MP:0012263,MP:0000266,MP:0004096,MP:0004937,MP:0000936,MP:0002118,MP:0004567,MP:0005312,MP:0001719,MP:0001622,MP:0004686,MP:0010656,MP:0003658,MP:0001614,MP:0001698,MP:0000788,MP:0002884,MP:0012090,MP:0012505
MGI:1891689	NA	MP:0002639,MP:0000273,MP:0008528,MP:0011252,MP:0001304,MP:0005157,MP:0010402,MP:0002608,MP:0000208,MP:0011666,MP:0001303,MP:0011100,MP:0000433,MP:0004924,MP:0009579,MP:0000452,MP:0002092,MP:0010418
MGI:5510750	NA	MP:0011142
MGI:2676847	NA	MP:0012144,MP:0012143
MGI:1342058	NA	MP:0000219,MP:0006143,MP:0001488,MP:0002458,MP:0002968
MGI:96267	NA	MP:0001191,MP:0010831,MP:0005478,MP:0003793,MP:0001262,MP:0001745,MP:0003815,MP:0001921,MP:0002073,MP:0001510,MP:0005479,MP:0001265,MP:0004697
MGI:3033971	NA	MP:0011100
MGI:1347481	NA	MP:0000141,MP:0001177,MP:0004599,MP:0003400,MP:0008380,MP:0004107,MP:0003390,MP:0004456,MP:0000104,MP:0004445,MP:0006030,MP:0004476,MP:0005325,MP:0011339,MP:0009890,MP:0005203,MP:0003235,MP:0000078,MP:0001915,MP:0004447,MP:0000111,MP:0008382,MP:0001344,MP:0006020,MP:0030026,MP:0002218,MP:0002116,MP:0005327,MP:0002400,MP:0000005,MP:0004113,MP:0005105,MP:0002652,MP:0003659,MP:0004204,MP:0004452,MP:0001304,MP:0006230,MP:0008138,MP:0002092,MP:0011348,MP:0000106,MP:0004592,MP:0004384,MP:0004537,MP:0005326,MP:0000154,MP:0004106,MP:0006356,MP:0011437,MP:0009859,MP:0010402,MP:0010326,MP:0011659,MP:0006354,MP:0004095,MP:0001788,MP:0005297,MP:0002898,MP:0001322,MP:0004038,MP:0005199,MP:0010526,MP:0011089,MP:0011455,MP:0008271,MP:0005587,MP:0006054,MP:0011359,MP:0004449,MP:0001691,MP:0010030,MP:0005204,MP:0003201,MP:0002169,MP:0004105,MP:0000431,MP:0011509,MP:0004221,MP:0004706,MP:0030290,MP:0000029,MP:0030121,MP:0008061,MP:0002989,MP:0004670,MP:0000163,MP:0003345,MP:0004448,MP:0001614,MP:0011108,MP:0004443,MP:0000702,MP:0004505,MP:0004318
MGI:1352450	NA	MP:0020925,MP:0006082,MP:0009335,MP:0004799,MP:0008496,MP:0002444,MP:0003009,MP:0020916,MP:0000921,MP:0005616,MP:0008750,MP:0008079,MP:0008567
MGI:1890216	NA	MP:0005561,MP:0008603,MP:0010209,MP:0002631,MP:0010210,MP:0005641,MP:0008639,MP:0004931
MGI:1298216	NA	MP:0001304,MP:0010263,MP:0002840,MP:0001303,MP:0002579,MP:0001556
MGI:102967	NA	MP:0008582,MP:0012143,MP:0008450,MP:0006309,MP:0008587,MP:0012144,MP:0012029,MP:0004811
MGI:1346307	NA	MP:0005559,MP:0010951,MP:0003638,MP:0008874,MP:0008875,MP:0005469,MP:0005472,MP:0010180,MP:0008873
MGI:1920546	NA	MP:0001262,MP:0000443,MP:0002100,MP:0010124,MP:0002834,MP:0002932,MP:0001258,MP:0003918,MP:0003961,MP:0002590,MP:0004953,MP:0004852,MP:0000438,MP:0001732,MP:0011110,MP:0001921,MP:0005353,MP:0008770,MP:0010025,MP:0010053
MGI:3047701	NA	MP:0000592,MP:0000585
MGI:2429498	NA	MP:0002901,MP:0000628,MP:0004910,MP:0002896,MP:0001147,MP:0000063,MP:0005441,MP:0011556,MP:0005182,MP:0009643,MP:0005564,MP:0002628,MP:0002780,MP:0009205,MP:0009355,MP:0005418,MP:0003961,MP:0004852,MP:0005559,MP:0002891,MP:0004955,MP:0001935,MP:0009199,MP:0002078,MP:0005291,MP:0000008,MP:0001565,MP:0002727
MGI:1918073	NA	MP:0011077,MP:0002169,MP:0008734,MP:0003071,MP:0009764
MGI:1913533	NA	MP:0002135,MP:0000438,MP:0001926,MP:0000458
MGI:104966	NA	MP:0005568,MP:0005576,MP:0000194,MP:0002764,MP:0002590,MP:0002968,MP:0002965,MP:0005573,MP:0005565
MGI:1923628	NA	MP:0002675,MP:0001935,MP:0001922
MGI:1929651	NA	MP:0002231,MP:0001689,MP:0003984,MP:0005224,MP:0011101,MP:0002084,MP:0001680,MP:0002174,MP:0009657,MP:0005201,MP:0003054,MP:0001688,MP:0008029,MP:0000914,MP:0003229,MP:0013241,MP:0001726,MP:0004073,MP:0004180,MP:0001718,MP:0000929,MP:0011257
MGI:1341149	NA	MP:0008892,MP:0009282,MP:0009239,MP:0001925,MP:0009836,MP:0009238
MGI:2685452	NA	MP:0005633,MP:0005159,MP:0001262,MP:0011121,MP:0013236,MP:0009363,MP:0010942,MP:0002216,MP:0001925,MP:0006380,MP:0011057,MP:0030003,MP:0011085,MP:0000825,MP:0002285,MP:0009070,MP:0001926,MP:0012676,MP:0001891,MP:0002152,MP:0001127,MP:0031381,MP:0013206,MP:0010861,MP:0012556,MP:0001156,MP:0011645,MP:0001732,MP:0000827,MP:0010052,MP:0011054,MP:0008770,MP:0008489,MP:0002262
MGI:108389	NA	MP:0002906,MP:0014367,MP:0009454,MP:0008283,MP:0011102,MP:0001262,MP:0002169,MP:0002797,MP:0012315,MP:0004200,MP:0009766,MP:0021019,MP:0021165,MP:0008489,MP:0000774,MP:0001363,MP:0004811
MGI:3603756	NA	MP:0000745,MP:0002169,MP:0001925,MP:0001325,MP:0004046,MP:0004815
MGI:1313277	NA	MP:0008504,MP:0001364,MP:0011087,MP:0002169,MP:0002089,MP:0001262,MP:0001732,MP:0021198,MP:0004753,MP:0002912,MP:0003990,MP:0002206,MP:0002082,MP:0002066,MP:0002919
MGI:109618	NA	MP:0002217,MP:0002874,MP:0002591,MP:0011100,MP:0013292,MP:0009701,MP:0009358,MP:0013293,MP:0014365,MP:0008263,MP:0002906,MP:0005562,MP:0004000,MP:0002768,MP:0005642,MP:0002968,MP:0031391,MP:0008489,MP:0020870
MGI:2153480	NA	MP:0000519,MP:0001516,MP:0002083,MP:0001762,MP:0001262,MP:0004119,MP:0002067,MP:0008544,MP:0009350,MP:0000063,MP:0011625,MP:0001426,MP:0005565,MP:0002978,MP:0006358,MP:0011967,MP:0009643,MP:0002703,MP:0011100,MP:0008309,MP:0003019,MP:0001265,MP:0011086,MP:0003197,MP:0001394,MP:0005191,MP:0001429,MP:0008997,MP:0000026,MP:0006012,MP:0003031,MP:0006325,MP:0004410
MGI:3797733	NA	MP:0005565
MGI:1338057	NA	MP:0003232,MP:0006108,MP:0011091,MP:0002151,MP:0002792,MP:0002743,MP:0010097,MP:0001697,MP:0011100,MP:0009142,MP:0005344,MP:0008470,MP:0003864
MGI:1926368	NA	MP:0011101
MGI:2679718	NA	MP:0005012,MP:0013522,MP:0002098,MP:0001303,MP:0001284,MP:0001325,MP:0002135,MP:0003068,MP:0000598
MGI:1915340	NA	MP:0002968
MGI:1924919	NA	MP:0005178
MGI:1919654	NA	MP:0002169
MGI:2153045	NA	MP:0031318,MP:0011102,MP:0002169,MP:0011111,MP:0009399
MGI:1913491	NA	MP:0002169
MGI:103224	NA	MP:0010052,MP:0001325,MP:0001303,MP:0011100
MGI:1342274	NA	MP:0002135,MP:0010024,MP:0001417,MP:0011100
MGI:1924170	NA	MP:0002675,MP:0005561,MP:0010087,MP:0003666,MP:0001925,MP:0001932,MP:0005578,MP:0008898,MP:0004542,MP:0001325,MP:0002968,MP:0009233,MP:0030976,MP:0002687
MGI:94937	NA	MP:0001394
MGI:2442557	NA	MP:0002574,MP:0001303,MP:0002272,MP:0002572,MP:0003461,MP:0014379,MP:0021111,MP:0020512,MP:0001441,MP:0020514,MP:0001399,MP:0001926,MP:0020511,MP:0008414,MP:0021112,MP:0009142,MP:0021090,MP:0020513,MP:0010053
MGI:2443386	NA	MP:0001823,MP:0000745,MP:0005017,MP:0000221,MP:0002083,MP:0010129,MP:0001513,MP:0005090,MP:0012051,MP:0000937,MP:0005150,MP:0000694,MP:0001392,MP:0002875,MP:0008078,MP:0000748,MP:0013590,MP:0004956,MP:0013585,MP:0008074,MP:0008025,MP:0005092,MP:0004263,MP:0001732,MP:0011636
