type	DRC150
moderate	0.00216345
moderate	0.00191857
moderate	0.00229808
moderate	0.0017811
moderate	0.00105094
moderate	0.00108563
moderate	0.0011757
moderate	0.00209589
moderate	0.00178681
moderate	0.00138191
moderate	0.00137949
moderate	0.00127743
moderate	0.00129076
moderate	0.00149287
moderate	0.00120293
moderate	0.00170072
moderate	0.00127779
moderate	0.00164529
moderate	0.00212579
moderate	0.00201734
moderate	0.00109404
moderate	0.00273583
moderate	0.000410361
moderate	0.00180418
moderate	0.00193913
moderate	0.00183394
moderate	0.00190432
moderate	0.00175514
moderate	0.00188608
moderate	0.00146006
moderate	0.00147369
moderate	0.00145421
moderate	0.00153844
moderate	0.00144766
moderate	0.00102303
moderate	0.00278639
moderate	0.00283162
moderate	0.00250456
moderate	0.00153867
moderate	0.00148963
moderate	0.00190564
moderate	0.00214751
moderate	0.00241971
moderate	0.00162805
moderate	0.00119889
moderate	0.00109518
moderate	0.00129044
moderate	0.0013244
moderate	0.00175807
moderate	0.00235336
moderate	0.00224095
moderate	0.00205683
moderate	0.00161967
moderate	0.00102057
moderate	0.00158519
moderate	0.00144437
moderate	0.00282794
moderate	0.00142793
moderate	0.00159084
moderate	0.00174271
moderate	0.0017351
moderate	0.00174373
moderate	0.00132663
moderate	0.00123382
moderate	0.00137374
moderate	0.00123042
moderate	0.0012637
moderate	0.00176893
moderate	0.00308479
moderate	0.00223977
moderate	0.00118192
moderate	0.00227365
moderate	0.000866372
moderate	0.00197525
moderate	0.00218738
moderate	0.00217588
moderate	0.00159737
moderate	0.00193679
moderate	0.00209075
moderate	0.00226866
moderate	0.00241984
moderate	0.00227836
moderate	0.00190012
moderate	0.00134523
moderate	0.00132732
moderate	0.0015161
moderate	0.00149838
moderate	0.00157606
moderate	0.00150696
moderate	0.00210488
moderate	0.00321815
moderate	0.00394217
moderate	0.00378029
moderate	0.00174635
moderate	0.0035778
moderate	0.00231011
moderate	0.00153074
moderate	0.00110038
moderate	0.00110757
moderate	0.00109831
moderate	0.00171809
moderate	0.00148506
moderate	0.00133838
moderate	0.00119876
moderate	0.00166233
moderate	0.00140258
moderate	0.00141334
moderate	0.00156502
moderate	0.00213107
moderate	0.00183728
moderate	0.00164819
moderate	0.00125442
moderate	0.00145503
moderate	0.00132265
moderate	0.00243335
moderate	0.00284678
moderate	0.00169165
moderate	0.00245034
moderate	0.00176375
moderate	0.00128353
moderate	0.0016874
moderate	0.00199114
moderate	0.00174674
moderate	0.00179955
moderate	0.00201174
moderate	0.00182481
moderate	0.00147279
moderate	0.0016687
moderate	0.00135486
moderate	0.00108729
moderate	0.00136785
moderate	0.00139308
moderate	0.00151019
moderate	0.00163412
moderate	0.00158631
moderate	0.00177528
moderate	0.00223764
moderate	0.000971444
moderate	0.00235699
moderate	0.00140694
moderate	0.00302437
moderate	0.00305319
moderate	0.00265188
moderate	0.00187451
moderate	0.0024382
moderate	0.00119897
moderate	0.00177372
none	0.00153716
none	0.000897083
none	0.00128494
none	0.00196317
none	0.00152524
none	0.00193197
none	0.00215276
none	0.00208926
none	0.00147732
none	0.00163646
none	0.00144865
none	0.00170074
none	0.00171511
none	0.00215768
none	0.00192594
none	0.00238176
none	0.0020157
none	0.00144743
