type	DRC150
moderate	0.00245809
moderate	0.00236537
moderate	0.00245511
moderate	0.00249138
moderate	0.00235297
moderate	0.00206371
moderate	0.00176822
moderate	0.00178219
moderate	0.00168871
moderate	0.00140045
moderate	0.0024746
moderate	0.00152333
moderate	0.00256117
moderate	0.00148605
moderate	0.0015602
moderate	0.00194776
moderate	0.0020944
moderate	0.00210425
moderate	0.00209615
moderate	0.00225063
moderate	0.00225162
moderate	0.00232403
moderate	0.00221075
moderate	0.000952988
moderate	0.002608
moderate	0.00142819
moderate	0.00213377
moderate	0.00110205
moderate	0.00129434
moderate	0.00194867
moderate	0.00162008
moderate	0.00218418
moderate	0.0017588
moderate	0.00204567
moderate	0.00206875
moderate	0.00195649
moderate	0.00191857
moderate	0.0020309
moderate	0.000943546
moderate	0.00108563
moderate	0.0011757
moderate	0.00159591
moderate	0.00163892
moderate	0.0016683
moderate	0.00193101
moderate	0.00092751
moderate	0.000893109
moderate	0.00121117
moderate	0.00170072
moderate	0.00132094
moderate	0.00131063
moderate	0.0011491
moderate	0.00175077
moderate	0.00175639
moderate	0.00177456
moderate	0.00212579
moderate	0.00205122
moderate	0.0020531
moderate	0.00146377
moderate	0.00320656
moderate	0.00299222
moderate	0.00193639
moderate	0.00148458
moderate	0.00172689
moderate	0.00240647
moderate	0.00259378
moderate	0.00234354
moderate	0.00228733
moderate	0.00176151
moderate	0.00195819
moderate	0.00228963
moderate	0.00175514
moderate	0.00175177
moderate	0.00102303
moderate	0.00115013
moderate	0.00110911
moderate	0.00219925
moderate	0.00259483
moderate	0.00292714
moderate	0.00253798
moderate	0.00252356
moderate	0.00233104
moderate	0.00153867
moderate	0.00154428
moderate	0.00148776
moderate	0.00146832
moderate	0.00134868
moderate	0.00127395
moderate	0.00125156
moderate	0.0020685
moderate	0.0026986
moderate	0.00273504
moderate	0.00267262
moderate	0.00235336
moderate	0.00147447
moderate	0.00230583
moderate	0.00178381
moderate	0.00219641
moderate	0.00189389
moderate	0.00202241
moderate	0.0017583
moderate	0.00145555
moderate	0.00169321
moderate	0.00173696
moderate	0.00180383
moderate	0.00134087
moderate	0.00132327
moderate	0.00134335
moderate	0.00123069
moderate	0.00179419
moderate	0.00145261
moderate	0.00187264
moderate	0.00201218
moderate	0.00229913
moderate	0.00290778
moderate	0.00188058
moderate	0.0017915
moderate	0.00120936
moderate	0.00169146
moderate	0.00134811
moderate	0.00103049
moderate	0.00169733
moderate	0.00143852
moderate	0.00108388
moderate	0.00133136
moderate	0.00123042
moderate	0.000682024
moderate	0.00127815
moderate	0.00159685
moderate	0.00143647
moderate	0.0014108
moderate	0.0017669
moderate	0.00308479
moderate	0.00307037
moderate	0.00167252
moderate	0.00218738
moderate	0.00216885
moderate	0.00159737
