type	iHS
none	3.803
none	4.191
none	2.806
none	3.104
none	3.324
none	2.773
none	2.067
none	3.971
none	2.714
none	3.985
none	2.105
none	4.339
none	1.579
none	3.47
none	3.936
none	3.353
none	2.339
none	2.294
none	4.496
none	3.143
none	4.656
none	3.646
none	3.613
none	2.16
none	3.528
none	3.019
none	1.602
none	2.912
none	4.589
none	2.256
none	3.01
none	2.945
none	2.076
none	3.423
none	4.469
none	1.969
none	6.693
none	5.647
none	2.45
none	2.789
none	2.899
none	2.011
none	2.201
none	3.058
none	2.158
none	1.94
none	4.295
none	2.4
none	2.988
none	3.217
none	2.774
none	2.339
none	2.196
none	3.383
none	3.363
none	2.403
none	3.302
none	3.399
none	3.353
none	2.192
none	2.319
none	3.215
none	2.621
none	2.703
none	3.275
none	3.342
none	2.442
none	3.559
none	2.415
none	2.049
none	2.595
none	3.737
none	2.057
none	1.643
none	2.154
none	4.751
none	2.589
none	2.213
none	3.166
none	1.443
none	1.622
none	3.212
none	0.795
none	1.073
none	2.499
none	1.704
none	2.073
none	1.349
none	2.71
none	1.151
none	3.507
none	1.894
none	2.203
none	4.47
none	1.272
none	2.01
none	4.397
none	2.103
none	2.672
none	3.335
none	2.662
none	4.148
none	2.129
none	2.308
none	2.21
none	1.906
none	2.729
none	2.997
none	1.58
none	2.288
none	1.306
none	3.704
none	2.314
none	5.072
none	2.936
none	2.968
none	5.677
none	2.403
none	2.873
none	1.801
none	2.879
none	2.468
none	1.927
none	2.039
none	2.128
none	6.381
none	1.923
none	3.369
none	1.781
none	3.813
none	2.292
none	2.433
none	3.779
none	2.229
none	3.412
none	2.216
none	4.612
none	4.595
none	3.095
none	3.389
none	6.104
none	2.985
none	1.885
none	2.477
none	2.581
none	3.171
none	1.895
none	3.959
none	5.155
none	2.356
none	1.865
none	2.399
none	2.078
none	6.622
none	1.888
none	1.309
none	4.95
none	3.388
none	1.977
none	4.06
none	2.171
none	3.112
none	4.439
none	2.814
none	3.1
none	2.658
none	3.223
none	2.324
none	2.923
none	1.682
none	5.22
none	2.241
none	2.908
none	2.97
none	3.224
none	4.226
none	3.951
none	3.381
none	6.12
none	3.916
none	5.406
none	4.382
none	3.548
none	3.645
none	2.777
none	2.953
none	3.799
none	3.705
none	2.376
none	2.481
none	4.88
none	3.212
none	2.444
none	2.239
none	2.81
none	3.283
none	4.536
none	3.181
none	1.928
none	6.037
none	1.496
none	1.807
none	2.556
none	3.347
none	3.669
none	4.015
none	3.663
none	5.442
none	3.338
none	2.6
none	1.995
none	2.623
none	1.415
none	3.196
none	2.276
none	2.273
none	2.026
none	3.582
none	2.444
none	2.78
none	4.061
none	1.929
none	1.656
none	2.279
none	1.001
none	3.443
none	1.114
none	2.83
none	2.585
none	1.651
none	2.687
none	3.075
none	2.21
none	2.787
none	2.276
none	3.045
none	2.533
none	1.87
none	5.801
none	3.477
none	3.837
none	4.656
none	2.93
none	2.424
none	2.082
none	1.866
none	3.433
none	3.015
none	2.702
none	3.714
none	2.099
none	1.744
none	5.763
none	2.884
none	2.529
none	3.267
none	2.178
none	2.376
none	3.417
none	2.283
none	2.304
none	3.083
none	1.939
none	2.099
none	3.469
none	1.792
none	3.184
none	2.314
none	2.551
none	2.471
none	2.942
none	2.351
none	1.203
none	3.019
none	2.809
none	2.479
none	6.746
none	1.445
none	2.51
none	1.983
none	3.081
none	3.24
none	4.555
none	3.022
none	2.425
none	1.571
none	2.618
none	2.286
none	3.927
none	5.526
none	2.088
none	2.292
none	3.391
none	2.823
none	4.418
none	5.174
none	5.924
none	2.098
none	1.916
none	1.897
none	4.819
none	3.22
none	2.434
none	2.155
none	3.109
none	2.548
none	8.091
none	3.646
none	3.675
none	4.319
none	4.065
none	4.897
none	2.544
none	2.292
none	2.688
none	3.327
none	5.465
none	2.571
none	4.441
none	6.285
none	2.129
none	2.55
none	2.421
none	3.737
none	2.959
none	3.381
none	4.046
none	2.193
none	5.633
none	3.111
none	2.578
none	4.02
none	2.86
none	2.889
none	2.101
none	2.269
none	2.798
none	2.98
none	2.659
none	2.886
none	1.874
none	1.685
none	3.849
none	2.554
none	1.77
none	2.093
none	2.099
none	2.092
none	4.905
none	3.309
none	2.255
none	3.458
none	5.221
none	1.984
none	2.06
none	3.08
none	2.565
none	2.78
none	2.112
none	1.393
none	2.049
none	2.177
none	6.052
none	5.189
none	4.554
none	4.881
none	4.223
none	2.489
none	1.653
none	2.004
none	2.511
none	2.904
none	2.725
none	4.624
none	2.655
none	1.952
none	3.091
none	1.779
none	2.288
none	2.486
none	2.905
none	3.37
none	3.554
none	2.863
none	2.5
none	4.373
none	2.385
none	2.213
none	3.848
none	4.273
none	4.972
none	5.129
none	3.303
none	2.123
none	4.323
none	3.714
none	2.473
none	3.312
none	2.402
none	2.61
none	4.562
none	2.756
none	3.307
none	4.89
none	2.138
none	2.123
none	5.042
none	2.644
none	2.219
none	1.707
none	2.929
none	4.58
none	2.827
none	1.458
none	1.623
none	1.897
none	4.541
none	4.988
none	2.188
none	1.896
none	2.555
none	2.35
none	2.867
none	1.684
none	2.722
none	2.039
none	3.744
none	2.135
none	1.644
none	1.043
none	2.904
none	2.838
none	2.756
none	3.587
none	5.252
none	3.161
none	2.252
none	2.344
none	3.076
none	3.62
none	2.698
none	1.886
none	3.06
none	2.307
none	2.153
none	4.846
none	2.93
none	3.14
none	1.469
none	1.706
none	3.642
none	4.568
none	2.843
none	3.685
none	2.975
none	4.08
none	2.851
none	3.781
none	4.973
none	2.262
none	3.012
none	2.579
none	2.501
none	2.174
none	1.866
none	2.579
none	3.307
none	3.019
none	4.158
none	3.764
none	4.372
none	3.151
none	2.418
none	2.56
none	2.34
none	3.494
none	3.134
none	3.072
none	2.72
none	3.575
none	4.166
none	3.518
none	2.97
none	2.16
none	3.019
none	2.622
none	1.451
none	2.978
none	2.879
none	5.049
none	2.029
none	2.092
none	2.923
none	2.356
none	1.792
none	2.114
none	4.49
none	2.298
none	2.574
none	1.705
none	2.931
none	1.889
none	4.51
none	2.666
none	2.496
none	2.245
none	4.497
none	2.976
none	6.622
none	6.081
none	3.173
none	2.675
none	2.133
none	3.573
none	1.868
none	1.967
none	1.996
none	4.137
none	4.317
none	2.609
none	4.026
none	2.793
none	2.707
none	1.836
none	2.158
none	2.314
none	2.213
