gene_name	fg_pleio_degree_finemap	pleio_degree	pleio_degree_maxindep	pleio_degree_locuswide	fg_pleio_degree
RNLS	4.0	1.0	1.0	1.0	3.0
FAS	1.0				
CH25H	1.0			1.0	
LIPA	1.0	1.0	1.0	1.0	8.0
SLC16A12	1.0				
BTAF1	2.0			1.0	2.0
CPEB3	2.0				2.0
KIF11	1.0			3.0	1.0
EIF2S2P3	1.0	3.0	3.0	3.0	1.0
EXOC6	1.0	4.0	3.0	8.0	2.0
CYP26A1	1.0	8.0	10.0	8.0	1.0
PLCE1	8.0	7.0	2.0	7.0	11.0
NOC3L	2.0	1.0		5.0	3.0
SORBS1	3.0	1.0	1.0	1.0	1.0
ENTPD1-AS1	2.0	2.0		3.0	1.0
ARHGAP19	1.0			2.0	2.0
FRAT1	1.0	1.0		2.0	1.0
CRTAC1	2.0	1.0		1.0	1.0
LOXL4	2.0	1.0		1.0	1.0
HPSE2	1.0	1.0		1.0	
DNMBP	1.0	1.0	1.0	2.0	
ERLIN1	1.0	2.0	3.0	3.0	1.0
SCD	2.0	1.0	1.0	4.0	3.0
TLX1NB	1.0			1.0	
LBX1-AS1	1.0				1.0
BTRC	2.0				2.0
GBF1	1.0	1.0	1.0	1.0	
ACTR1A	1.0			1.0	
SUFU	3.0	2.0	1.0	2.0	2.0
AS3MT	1.0	4.0		5.0	2.0
CNNM2	4.0	3.0	1.0	6.0	4.0
NT5C2	1.0	4.0	2.0	6.0	4.0
SH3PXD2A	9.0	1.0		2.0	13.0
SLK	4.0				6.0
COL17A1	4.0				18.0
SORCS3	3.0				8.0
AL355512.1	1.0				
VTI1A	1.0			2.0	3.0
TCF7L2	4.0	5.0	2.0	5.0	6.0
RNU7-165P	1.0	1.0		1.0	6.0
CASP7	1.0				
ADRB1	1.0	3.0	3.0	3.0	5.0
ABLIM1	1.0				
EMX2	1.0				
CASC2	1.0				2.0
LINC00867	1.0				1.0
GRK5	2.0	3.0	1.0	3.0	1.0
BAG3	2.0	2.0		2.0	4.0
INPP5F	1.0	1.0		1.0	1.0
SEC23IP	1.0	1.0		1.0	
WDR11	1.0				2.0
RN7SKP167	1.0				6.0
FGFR2	5.0			1.0	9.0
BTBD16	2.0			1.0	6.0
PLEKHA1	1.0	2.0	1.0	2.0	8.0
ARMS2	3.0			2.0	10.0
HTRA1	6.0	1.0		2.0	14.0
CPXM2	2.0				1.0
ZRANB1	1.0			1.0	
CTBP2	3.0	1.0		1.0	3.0
PTPRE	1.0				
MGMT	1.0	1.0		1.0	
PPP2R2D	1.0				
BET1L	5.0	3.0	1.0	5.0	3.0
ODF3	1.0	2.0	1.0	5.0	
SIRT3	1.0	3.0	1.0	6.0	2.0
RASSF7	2.0				
SCT	1.0				
DEAF1	1.0				
PNPLA2	1.0			4.0	1.0
AP2A2	1.0				4.0
MUC6	1.0				
MUC2	1.0				3.0
MUC5B	1.0				3.0
TOLLIP	2.0				3.0
AC136297.1	1.0				
KRTAP5-AS1	1.0				1.0
TNNI2	1.0			3.0	
LSP1	4.0	3.0	1.0	3.0	6.0
INS-IGF2	2.0	7.0	7.0	7.0	12.0
INS	3.0	1.0		7.0	11.0
TH	1.0	1.0	1.0	7.0	
C11orf21	2.0				4.0
KCNQ1	6.0	4.0	3.0	4.0	5.0
KCNQ1OT1	1.0	2.0	1.0	2.0	
SLC22A18AS	1.0			1.0	3.0
STIM1	1.0	1.0	1.0	2.0	1.0
OR51D1	1.0				
OR51E1	1.0				
HBB	2.0				
TRIM5	1.0	3.0	3.0	3.0	1.0
FAM160A2	1.0				
CCKBR	2.0				1.0
EIF3F	1.0			2.0	
TUB	1.0	2.0	1.0	2.0	2.0
RIC3	1.0				
ST5	3.0	4.0	3.0	4.0	6.0
NRIP3	1.0				
SCUBE2	1.0				2.0
DENND5A	2.0				1.0
WEE1	1.0			1.0	
SWAP70	2.0	4.0	1.0	4.0	1.0
SBF2-AS1	1.0			4.0	
SBF2	3.0	2.0		6.0	6.0
ADM	1.0			1.0	
AMPD3	3.0	3.0	2.0	3.0	6.0
MTRNR2L8	1.0			1.0	1.0
MRVI1	2.0	1.0	1.0	1.0	6.0
USP47	1.0			1.0	
DKK3	1.0	1.0		2.0	
TEAD1	2.0	2.0	1.0	2.0	2.0
ARNTL	6.0	5.0	2.0	5.0	5.0
SPON1	3.0	1.0	1.0	2.0	
PDE3B	1.0	2.0	2.0	2.0	
CALCB	2.0	1.0	1.0	1.0	1.0
SOX6	3.0	6.0	4.0	6.0	3.0
PLEKHA7	1.0			1.0	
KCNJ11	2.0			1.0	3.0
CSRP3	1.0	1.0	1.0	2.0	2.0
NAV2	4.0				2.0
ANO5	2.0	1.0		1.0	
GAS2	1.0				2.0
LGR4	3.0	2.0		3.0	2.0
BDNF-AS	3.0	2.0		5.0	8.0
BDNF	2.0	3.0		4.0	5.0
METTL15	2.0				
ARL14EP	1.0			1.0	5.0
MPPED2	3.0	2.0		2.0	3.0
DCDC1	5.0	2.0	2.0	2.0	4.0
DNAJC24	1.0				2.0
WT1	5.0				4.0
WT1-AS	4.0				9.0
EIF3M	1.0				3.0
CCDC73	1.0				3.0
CD44	2.0				2.0
PRR5L	3.0				5.0
LRRC4C	1.0	2.0	1.0	2.0	2.0
CD82	1.0	2.0		2.0	
PRDM11	6.0				8.0
SYT13	1.0				
CHST1	1.0				
SLC35C1	2.0				1.0
CRY2	1.0				
