MPO_term	cluster_label	MPO_label
MP:0008590	391	abnormal circulating interleukin-10 level
MP:0013855	1665	absent celiac artery
MP:0020886	3495	abnormal milk phosphate level
MP:0008009	4909	delayed cellular replicative senescence
MP:0001515	911	abnormal grip strength
MP:0010127	1723	hypervolemia
MP:0004350	3284	long humerus
MP:0005336	4238	abnormal inguinal fat pad morphology
MP:0005286	7011	decreased saturated fatty acids level
MP:0001358	2234	aggression towards inanimate objects
MP:0004695	1200	increased length of long bones
MP:0030784	3545	abnormal iliofemoral ligament morphology
MP:0001355	5423	submission towards male mice
MP:0010502	2118	ventricle myocardium hypoplasia
MP:0013840	1551	absent segment of posterior cerebral artery
MP:0008450	2602	retina photoreceptor degeneration
MP:0003395	2852	abnormal subclavian artery morphology
MP:0004902	6464	abnormal uterus size
MP:0000488	2716	abnormal intestinal epithelium morphology
MP:0008320	2941	absent adenohypophysis
MP:0001862	2907	interstitial pneumonia
MP:0004100	1034	abnormal spinal cord interneuron morphology
MP:0001869	1555	pancreas inflammation
MP:0008754	6463	abnormal T cell receptor V(D)J recombination
MP:0013962	178	absent Hensen stripe
MP:0004437	656	decreased cochlear outer hair cell electromotility
MP:0008292	2484	enlarged adrenocortical cell nuclei
MP:0005191	1573	head tilt
MP:0000726	5438	absent lymphocyte
MP:0010558	108	sinus venosus hypoplasia
MP:0004140	4219	abnormal gastric chief cell morphology
MP:0011095	536	embryonic lethality between implantation and placentation, complete penetrance
MP:0009907	2042	decreased tongue size
MP:0020851	2414	abnormal vacuole morphology
MP:0002368	2081	abnormal thymus capsule morphology
MP:0005559	957	increased circulating glucose level
MP:0010149	5673	abnormal synaptic dopamine release
MP:0010687	1495	absent hair follicle dermal papilla
MP:0000674	267	abnormal sweat gland morphology
MP:0000085	2657	large anterior fontanelle
MP:0002686	961	globozoospermia
MP:0008202	2213	absent B-1 B cells
MP:0010088	3884	decreased circulating fructosamine level
MP:0031392	6460	hypoactivity
MP:0004566	138	myocardial fiber degeneration
MP:0003228	935	abnormal sinus venosus morphology
MP:0008799	3019	oblique facial cleft
MP:0011122	167	absent primordial ovarian follicles
MP:0010607	2710	common atrioventricular valve
MP:0001087	2054	abnormal nodose ganglion morphology
MP:0006021	2784	abnormal Reissner membrane morphology
MP:0009902	1612	abnormal lateral nasal prominence morphology
MP:0010501	5114	atrium myocardium hypoplasia
MP:0008686	4908	abnormal interleukin-2 secretion
MP:0004312	19	absent pillar cells
MP:0010266	6459	decreased liver tumor incidence
MP:0009236	109	pinhead sperm
MP:0003703	1987	abnormal vestibulocochlear ganglion morphology
MP:0008293	211	abnormal adrenal gland zona glomerulosa morphology
MP:0004558	2117	delayed allantois development
MP:0030991	2248	optic nerve inflammation
MP:0008366	6458	enlarged adenohypophysis
MP:0000627	1201	abnormal mammary gland morphology
MP:0011603	6457	decreased glutathione peroxidase activity
MP:0011292	3710	absent nephron
MP:0009720	3052	abnormal mammary gland pattern
MP:0010506	4983	prolonged RR interval
MP:0010580	2423	decreased heart left ventricle size
MP:0008866	3150	chromosomal instability
MP:0000619	1518	salivary gland epithelial hyperplasia
MP:0009435	1490	abnormal miniature inhibitory postsynaptic currents
MP:0005299	550	abnormal eye posterior chamber morphology
MP:0010912	2264	herniated liver
MP:0004143	1473	muscle hypertonia
MP:0020142	1613	increased anti-sperm antibody level
MP:0000032	4140	cochlear degeneration
MP:0012135	1233	embryonic-extraembryonic boundary constriction
MP:0003072	1386	abnormal metatarsal bone morphology
MP:0000662	3277	abnormal branching of the mammary ductal tree
MP:0009300	1449	increased parametrial fat pad weight
MP:0009567	1152	mitotic nondisjunction
MP:0004179	1014	transmission ratio distortion
MP:0006045	1655	mitral valve regurgitation
MP:0012525	5305	abnormal rhombic lip morphology
MP:0021111	4384	decreased social investigation
MP:0013853	597	abnormal hepatic portal vein formation
MP:0020593	4123	increased cerebral cortex cell number
MP:0010229	2786	increased transitional stage T3 B cell number
MP:0005388	7007	respiratory system phenotype
MP:0003984	1890	embryonic growth retardation
MP:0020512	171	abnormal dendritic mushroom spine morphology
MP:0002296	4905	aspiration
MP:0013208	2863	abnormal cilium physiology
MP:0020456	5542	decreased myelin sheath amount
MP:0009563	2236	dyskeratosis
MP:0014182	3202	decreased respiratory epithelial sodium ion transmembrane transport
MP:0030340	1779	absent fourth pharyngeal arch artery
MP:0009768	804	impaired somite development
MP:0011459	2003	increased urine chloride ion level
MP:0012013	2344	abnormal innate avoidance response
MP:0020359	4904	abnormal ribbon synapse morphology
MP:0008109	1223	abnormal small intestinal microvillus morphology
MP:0013968	2077	multiple persisting craniopharyngeal ducts
MP:0005350	2619	increased susceptibility to autoimmune disorder
MP:0010465	3057	aberrant origin of the right subclavian artery
MP:0004498	2365	increased organ of Corti supporting cell number
MP:0012508	6442	forebrain atrophy
MP:0000835	3746	abnormal subthalamic nucleus morphology
MP:0008098	2486	decreased plasma cell number
MP:0006185	5753	retina hemorrhage
MP:0005265	4903	abnormal blood urea nitrogen level
MP:0009747	3811	impaired behavioral response to xenobiotic
MP:0011333	534	abnormal kidney inner medulla morphology
MP:0010247	1416	increased intestine copper level
MP:0000168	1962	abnormal bone marrow development
MP:0001516	2158	abnormal motor coordination/balance
MP:0005240	2910	abnormal amacrine cell morphology
MP:0004071	821	prolonged P wave
MP:0008301	1257	adrenal medulla hyperplasia
MP:0001211	4719	wrinkled skin
MP:0030564	5159	thick myocardium compact layer
MP:0004299	2623	absent vestibular ganglion
MP:0000512	1020	intestinal ulcer
MP:0000870	1691	absent cerebellum vermis lobule VIII
MP:0003340	1649	acute pancreas inflammation
MP:0000761	2439	thin diaphragm muscle
MP:0004036	6440	abnormal muscle relaxation
MP:0010508	1594	abnormal heart electrocardiography waveform feature
MP:0006398	1139	increased long bone epiphyseal plate size
MP:0006115	5701	aortic valve atresia
MP:0005167	3660	abnormal blood-brain barrier function
MP:0020078	2928	decreased brain tyrosine 3-monooxygenase activity
MP:0009494	3610	abnormal biliary ductule morphology
MP:0002543	4929	brachyphalangia
MP:0030701	2580	decreased threonine level
MP:0006135	2174	artery stenosis
MP:0005337	1780	abnormal retroperitoneal fat pad morphology
MP:0012272	2211	decreased axial mesoderm size
MP:0013836	3504	abnormal hypoglossal nerve topology
MP:0003091	941	abnormal cell migration
MP:0004192	3036	abnormal kidney pyramid morphology
MP:0009328	1187	delayed heart looping
MP:0002407	6645	abnormal double-negative T cell morphology
MP:0012718	727	decreased hemangioblast number
MP:0011411	2774	abnormal gonadal ridge morphology
MP:0013328	2278	visceromegaly
MP:0006316	2957	increased urine sodium level
MP:0004790	2532	absent upper incisors
MP:0010206	901	pigment incontinence
MP:0009906	6439	increased tongue size
MP:0013374	113	increased sebaceous gland tumor incidence
MP:0003731	3448	abnormal retina outer nuclear layer morphology
MP:0000240	1203	extramedullary hematopoiesis
MP:0001129	2998	impaired ovarian folliculogenesis
MP:0009507	1999	abnormal mammary gland connective tissue morphology
MP:0008789	1407	abnormal olfactory epithelium morphology
MP:0004537	1361	abnormal palatine bone horizontal plate morphology
MP:0000774	6303	decreased brain size
MP:0001916	2458	intracerebral hemorrhage
MP:0020724	746	increased retina inner nuclear layer thickness
MP:0006286	6437	inner ear hypoplasia
MP:0000230	1345	abnormal systemic arterial blood pressure
MP:0001501	5658	abnormal sleep pattern
MP:0003414	1618	epidermal cyst
MP:0005107	1959	abnormal stapes morphology
MP:0020344	1022	abnormal susceptibility to injury induced morbidity/mortality
MP:0030188	6436	round snout
MP:0002864	2235	abnormal ocular fundus morphology
MP:0003973	4150	increased pituitary hormone level
MP:0003725	1862	increased autoantibody level
MP:0012499	1994	absent cardiogenic plate
MP:0000422	1349	delayed hair appearance
MP:0011400	1547	lethality, complete penetrance
MP:0000573	1162	enlarged hind paws
MP:0011870	2590	abnormal podocyte polarity
MP:0020866	2162	abnormal lipogenesis
MP:0000683	1876	decreased percent water in carcass
MP:0000167	2055	decreased chondrocyte number
MP:0030605	6435	abnormal corneocyte morphology
MP:0003384	1104	abnormal ventral body wall morphology
MP:0005401	795	abnormal fat-soluble vitamin level
