HPO_term	cluster_label	HPO_label
HP:0008897	3658	Postnatal growth retardation
HP:4000141	3263	Left ventricular dilatation
HP:0011108	4572	Recurrent sinusitis
HP:0002816	2868	Genu recurvatum
HP:0040009	1572	Hyperparakeratosis
HP:0003269	4874	Sudanophilic leukodystrophy
HP:0100024	2536	Conspicuously happy disposition
HP:0011220	1569	Prominent forehead
HP:0012075	2412	Personality disorder
HP:0032141	2802	Precordial pain
HP:0002062	1813	Abnormal pyramidal tract morphology
HP:0002056	4056	Abnormality of the glabella
HP:0004341	1764	Abnormality of vitamin B12 metabolism
HP:0100590	4950	Rectal fistula
HP:0010989	2297	Abnormality of the intrinsic pathway
HP:0010751	3951	Dimple chin
HP:0100347	4184	Tibial deviation of the 5th toe
HP:0002195	2323	Dysgenesis of the cerebellar vermis
HP:0100584	949	Endocarditis
HP:0009566	912	Short distal phalanx of the 2nd finger
HP:0100578	3444	Lipoatrophy
HP:0002500	3253	Abnormal cerebral white matter morphology
HP:0007818	1064	Central heterochromia
HP:0002304	1280	Akinesia
HP:0100671	2865	Abnormal trabecular bone morphology
HP:0000080	4734	Abnormality of reproductive system physiology
HP:0006463	2502	Rickets of the lower limbs
HP:0008198	3174	Congenital hypoparathyroidism
HP:0000839	2372	Pituitary dwarfism
HP:0004871	1719	Perineal fistula
HP:0010750	2539	Dermatochalasis
HP:0001260	2855	Dysarthria
HP:0025018	2019	Abnormal capillary physiology
HP:0030983	2506	Ovarian thecoma
HP:0000621	3532	Entropion
HP:0030512	5235	Difficulty adjusting to changes in luminance
HP:0009737	3044	Lisch nodules
HP:0000764	5231	Peripheral axonal degeneration
HP:0004527	578	Large clumps of pigment irregularly distributed along hair shaft
HP:0002507	4448	Semilobar holoprosencephaly
HP:3000037	3316	Abnormal neck blood vessel morphology
HP:0007627	5483	Mandibular condyle aplasia
HP:0500182	2409	Hypotaurinemia
HP:0012529	217	Abnormal dense granule content
HP:0009830	2602	Peripheral neuropathy
HP:6000210	5276	Elevated CSF N-carbamyl-beta-alanine concentration
HP:0010646	2678	Cervical spine instability
HP:0002504	1428	Calcification of the small brain vessels
HP:3000010	777	Abnormality of orbicularis oris muscle
HP:0011433	3267	High maternal circulating chorionic gonadotropin concentration
HP:0030431	965	Osteochondroma
HP:0008477	4109	Poorly ossified cervical vertebrae
HP:0005198	3667	Stiff interphalangeal joints
HP:0012798	2752	Pulmonary lymphangiomyomatosis
HP:0033188	2473	Cystic acne
HP:0000527	1513	Long eyelashes
HP:0011385	1744	Absent internal auditory canal
HP:0005086	1989	Knee osteoarthritis
HP:0100750	4360	Atelectasis
HP:6000484	2072	Elevated brain guanidinoacetate level by MRS
HP:0040081	2881	Abnormal circulating creatine kinase concentration
HP:0000741	2618	Apathy
HP:0009765	2862	Low hanging columella
HP:0003992	4034	Slender ulna
