gene_name	phast_value
snoU13	0.002
RP5-1056L3.1	0.0815929238719936
MINOS1-NBL1	0.0879858375493229
MINOS1	0.1107361593276082
RPS14P3	0.3543362637362637
NBL1	0.0709468655715722
HTR6	0.0518673998318856
TMCO4	0.0402702216031189
RNF186	0.1790232185748599
RP11-91K11.2	0.0659338006230529
OTUD3	0.0700186639503171
PLA2G2E	0.072537545026323
RN7SL304P	0.013628762541806
PLA2G2A	0.0287861421725239
PLA2G5	0.1010445153304132
PLA2G2D	0.0314389027431421
PLA2G2F	0.0517037338396166
RP3-340N1.2	0.0877915262397689
PLA2G2C	0.0384488003957457
RP3-340N1.5	0.0564645879732739
UBXN10	0.0968891007627458
RP3-340N1.6	0.0396483023702754
VWA5B1	0.0505267131424284
RP4-745E8.2	0.0302649687683335
RP4-749H3.1	0.0559686933876811
RP4-749H3.2	0.0243231578947368
CAMK2N1	0.1856033942558746
MUL1	0.0838239210284664
RPS4XP4	0.2461677588466579
FAM43B	0.2339903138318481
CDA	0.0422286639297753
PINK1	0.0815793874951542
PINK1-AS	0.0930603963510538
AL391357.1	0.3069517045454545
DDOST	0.0645970609392662
KIF17	0.0556762832382786
RP5-930J4.5	0.09385
SH2D5	0.0596333740271631
RP5-930J4.2	0.1484557315936626
HP1BP3	0.0908793408414123
RP5-930J4.4	0.1827745901639344
EIF4G3	0.0805767746986488
RNU7-200P	0.0086774193548387
MIR1256	0.1857563025210084
RPS15AP6	0.2253142857142857
RP11-487E1.2	0.2504695652173913
RP11-628K18.1	0.2751416803953871
AL031005.1	0.29596875
ECE1	0.0467214754635188
RP3-329E20.2	0.0423213675213675
RP5-1071N3.1	0.0441437162683114
PPP1R11P1	0.4554973404255319
RP11-293F5.8	0.248979280261723
RP11-293F5.1	0.1370363636363636
NBPF2P	0.2859536344600658
HS6ST1P1	0.2724251012145749
CROCCP5	0.342541190990435
NBPF3	0.054068875618343
PFN1P10	0.5441162079510703
ALPL	0.066369076584405
RP11-63N8.3	0.0658282442748091
AL359815.1	0.5134130434782609
RAP1GAP	0.0705405915670232
USP48	0.0689902857305643
RP11-132G19.3	0.4644820846905537
LDLRAD2	0.0810429883460677
HSPG2	0.0911340860299166
RP11-26H16.1	0.2412753623188405
CELA3B	0.0607860049949125
RN7SL421P	0.0197797202797202
RN7SL386P	0.1597322033898305
RNU6-1022P	0.0224711538461538
CELA3A	0.0585076258728408
RN7SL768P	0.1591267605633803
RN7SL186P	0.0821423728813559
RNU6-776P	0.0441826923076923
RP1-224A6.3	0.0188215384615384
LINC00339	0.0556795891318754
CDC42	0.1106087603551763
CDC42-IT1	0.0825358784729162
RP1-224A6.8	0.4728852459016393
RP1-224A6.9	0.073937165775401
WNT4	0.1041470466904181
MIR4418	0.0230645161290322
